seed,coef_seed,train_seed,direction,frame_idx,true_x,true_y,pred_x,pred_y
0_0,0,0,90_forward,44,0.0,2.6660132,-3.0859375,2.2817535
0_0,0,0,90_forward,45,0.0,2.8041804,-3.1673622,2.4050283
0_0,0,0,90_forward,46,0.0,2.9447732,-3.2578735,2.5301437
0_0,0,0,90_forward,47,0.0,3.0876439,-3.36446,2.6601362
0_0,0,0,90_forward,48,0.0,3.2326438,-3.469921,2.7894707
0_0,0,0,90_forward,49,0.0,3.3796153,-3.5677109,2.9109726
0_0,0,0,90_forward,50,0.0,3.5283954,-3.6635284,3.0293312
0_0,0,0,90_forward,51,0.0,3.678824,-3.7502823,3.146572
0_0,0,0,90_forward,52,0.0,3.8307333,-3.8285446,3.2651453
0_0,0,0,90_forward,53,0.0,3.9839597,-3.9049911,3.379879
0_0,0,0,90_forward,54,0.0,4.1383266,-3.97184,3.4923668
0_0,0,0,90_forward,55,0.0,4.293666,-4.019615,3.5978518
0_0,0,0,90_forward,56,0.0,4.4498005,-4.049431,3.7024965
0_0,0,0,90_forward,57,0.0,4.6065564,-4.064823,3.8135395
0_0,0,0,90_forward,58,0.0,4.7637544,-4.071472,3.9347048
0_0,0,0,90_forward,59,0.0,4.921221,-4.0687637,4.0568476
0_0,0,0,90_forward,60,0.0,5.078777,-4.0546646,4.1836767
0_0,0,0,90_forward,61,0.0,5.236244,-4.029152,4.3142424
0_0,0,0,90_forward,62,0.0,5.393444,-3.9939766,4.4449873
0_0,0,0,90_forward,63,0.0,5.5501986,-3.952507,4.56989
0_0,0,0,90_forward,64,0.0,5.706334,-3.9115639,4.689658
0_0,0,0,90_forward,65,0.0,5.8616724,-3.8799896,4.799386
0_0,0,0,90_forward,66,0.0,6.0160403,-3.8652802,4.8953104
0_0,0,0,90_forward,67,0.0,6.1692634,-3.845024,4.9776564
0_0,0,0,90_forward,68,0.0,6.3211746,-3.8118782,5.073882
0_0,0,0,90_forward,69,0.0,6.471605,-3.7819977,5.169526
0_0,0,0,90_forward,70,0.0,6.620387,-3.7573128,5.2700834
0_0,0,0,90_forward,71,3.8146973e-06,6.767352,-3.7323189,5.3605375
0_0,0,0,90_forward,72,0.0,6.9123545,-3.7242432,5.4859266
0_0,0,0,90_forward,73,0.0,7.055228,-3.77034,5.630746
0_0,0,0,90_forward,74,0.0,7.19582,-3.8399658,5.778434
0_0,0,0,90_forward,75,0.0,7.333985,-3.9248238,5.9211645
0_0,0,0,90_forward,76,0.0,7.4695773,-4.0113983,6.069419
0_0,0,0,90_forward,77,0.0,7.6024632,-4.0824013,6.236594
0_0,0,0,90_forward,78,0.0,7.732501,-4.145996,6.402705
0_0,0,0,90_forward,79,0.0,7.859561,-4.199394,6.581851
0_0,0,0,90_forward,80,0.0,7.9835258,-4.246887,6.760726
0_0,0,0,90_forward,81,0.0,8.104277,-4.282875,6.9218187
0_0,0,0,90_forward,82,0.0,8.221697,-4.3041916,7.05247
0_0,0,0,90_forward,83,0.0,8.335686,-4.3160477,7.185498
0_0,0,0,90_forward,84,0.0,8.446146,-4.313156,7.2986727
0_0,0,0,90_forward,85,0.0,8.552984,-4.305496,7.400506
0_0,0,0,90_forward,86,0.0,8.656117,-4.2911377,7.4663725
0_0,0,0,90_forward,87,0.0,8.755467,-4.265785,7.495887
0_0,0,0,90_forward,88,0.0,8.850969,-4.261677,7.5136576
0_0,0,0,90_forward,89,0.0,8.942564,-4.240753,7.522094
0_0,0,0,90_forward,90,0.0,9.030196,-4.191437,7.503745
0_0,0,0,90_forward,91,0.0,9.113827,-4.12302,7.4784956
0_0,0,0,90_forward,92,0.0,9.193421,-4.045315,7.450143
0_0,0,0,90_forward,93,0.0,9.268958,-3.977291,7.414712
0_0,0,0,90_forward,94,0.0,9.340422,-3.8657722,7.3704004
0_0,0,0,90_forward,95,0.0,9.407811,-3.740471,7.3255987
0_0,0,0,90_forward,96,0.0,9.471128,-3.6256828,7.2915125
0_0,0,0,90_forward,97,3.8146973e-06,9.5303955,-3.5072136,7.2713366
0_0,0,0,90_forward,98,3.8146973e-06,9.58564,-3.372879,7.2549334
0_0,0,0,90_forward,99,0.0,9.636901,-3.2585564,7.257613
0_0,0,0,90_forward,100,0.0,9.684231,-3.132515,7.276307
0_0,0,0,90_forward,101,0.0,9.727693,-2.9928207,7.316325
0_0,0,0,90_forward,102,0.0,9.767359,-2.8553429,7.362649
0_0,0,0,90_forward,103,0.0,9.803322,-2.7361603,7.401515
0_0,0,0,90_forward,104,0.0,9.835678,-2.6096725,7.4579134
0_0,0,0,90_forward,105,0.0,9.864549,-2.4987984,7.521884
